,city,SurfaceFile,surface_file_name
3774,Aalborg,4,SurfaceWater_2018_30m_30_3.tif
3893,Aarhus,4,SurfaceWater_2018_30m_30_3.tif
3960,Aba,4,SurfaceWater_2018_30m_30_3.tif
3612,Abadan,4,SurfaceWater_2018_30m_30_3.tif
2032,Abaetetuba,3,SurfaceWater_2018_30m_30_2.tif
1965,Abai,3,SurfaceWater_2018_30m_30_2.tif
5271,Abakan,5,SurfaceWater_2018_30m_30_4.tif
871,Abancay,2,SurfaceWater_2018_30m_30_1.tif
5625,Abau,6,SurfaceWater_2018_30m_30_5.tif
4377,Abaza,5,SurfaceWater_2018_30m_30_4.tif
4525,Abbottabad,5,SurfaceWater_2018_30m_30_4.tif
4189,Abeche,4,SurfaceWater_2018_30m_30_3.tif
2204,Abengourou,3,SurfaceWater_2018_30m_30_2.tif
3954,Abeokuta,4,SurfaceWater_2018_30m_30_3.tif
994,Aberdeen1,2,SurfaceWater_2018_30m_30_1.tif
71,Aberdeen2,1,SurfaceWater_2018_30m_30_0.tif
2249,Aberdeen3,3,SurfaceWater_2018_30m_30_2.tif
3542,Abha,4,SurfaceWater_2018_30m_30_3.tif
2397,Abidjan,3,SurfaceWater_2018_30m_30_2.tif
1279,Abilene,2,SurfaceWater_2018_30m_30_1.tif
5089,Abohar,5,SurfaceWater_2018_30m_30_4.tif
3997,Abomey,4,SurfaceWater_2018_30m_30_3.tif
2932,Abong Mbang,4,SurfaceWater_2018_30m_30_3.tif
203,Abra Pampa,2,SurfaceWater_2018_30m_30_1.tif
4232,Abu Dhabi,4,SurfaceWater_2018_30m_30_3.tif
3746,Abu Kamal,4,SurfaceWater_2018_30m_30_3.tif
4144,Abuja,4,SurfaceWater_2018_30m_30_3.tif
1583,Acapulco,2,SurfaceWater_2018_30m_30_1.tif
1972,Acarau,3,SurfaceWater_2018_30m_30_2.tif
1216,Acarigua,2,SurfaceWater_2018_30m_30_1.tif
215,Acatlan,2,SurfaceWater_2018_30m_30_1.tif
2395,Accra,3,SurfaceWater_2018_30m_30_2.tif
4302,Accra,4,SurfaceWater_2018_30m_30_3.tif
4872,Achinsk,5,SurfaceWater_2018_30m_30_4.tif
1991,Acu,3,SurfaceWater_2018_30m_30_2.tif
2073,Ad Dakhla,3,SurfaceWater_2018_30m_30_2.tif
3866,Ad Damman,4,SurfaceWater_2018_30m_30_3.tif
2677,Ad Diwaniyah,4,SurfaceWater_2018_30m_30_3.tif
3234,Ad Nabk,4,SurfaceWater_2018_30m_30_3.tif
4142,Adana,4,SurfaceWater_2018_30m_30_3.tif
2799,Adapazari,4,SurfaceWater_2018_30m_30_3.tif
4303,Addis Ababa,4,SurfaceWater_2018_30m_30_3.tif
6031,Adelaide,6,SurfaceWater_2018_30m_30_5.tif
4203,Aden,4,SurfaceWater_2018_30m_30_3.tif
2842,Adi Ugri,4,SurfaceWater_2018_30m_30_3.tif
3523,Adigrat,4,SurfaceWater_2018_30m_30_3.tif
3831,Adiyaman,4,SurfaceWater_2018_30m_30_3.tif
2875,Ado Ekiti,4,SurfaceWater_2018_30m_30_3.tif
2157,Adrar,3,SurfaceWater_2018_30m_30_2.tif
3689,Afyon,4,SurfaceWater_2018_30m_30_3.tif
4201,Agadez,4,SurfaceWater_2018_30m_30_3.tif
2277,Agadir,3,SurfaceWater_2018_30m_30_2.tif
5827,Agana,6,SurfaceWater_2018_30m_30_5.tif
4593,Agartala,5,SurfaceWater_2018_30m_30_4.tif
2167,Agboville,3,SurfaceWater_2018_30m_30_2.tif
3656,Agen,4,SurfaceWater_2018_30m_30_3.tif
2463,Agordat,4,SurfaceWater_2018_30m_30_3.tif
5130,Agra,5,SurfaceWater_2018_30m_30_4.tif
3413,Agri,4,SurfaceWater_2018_30m_30_3.tif
3504,Agrinio,4,SurfaceWater_2018_30m_30_3.tif
977,Agua Prieta,2,SurfaceWater_2018_30m_30_1.tif
557,Aguascalientes,2,SurfaceWater_2018_30m_30_1.tif
2500,Ahar,4,SurfaceWater_2018_30m_30_3.tif
5442,Ahmadabad,5,SurfaceWater_2018_30m_30_4.tif
4959,Ahmednagar,5,SurfaceWater_2018_30m_30_4.tif
4150,Ahwaz,4,SurfaceWater_2018_30m_30_3.tif
1676,Aigua,3,SurfaceWater_2018_30m_30_2.tif
1207,Aiken,2,SurfaceWater_2018_30m_30_1.tif
670,Aiquile,2,SurfaceWater_2018_30m_30_1.tif
2745,Aix-en-Provence,4,SurfaceWater_2018_30m_30_3.tif
4848,Aizawl,5,SurfaceWater_2018_30m_30_4.tif
3576,Ajaccio,4,SurfaceWater_2018_30m_30_3.tif
3252,Ajdabiya,4,SurfaceWater_2018_30m_30_3.tif
4492,Ajmer,5,SurfaceWater_2018_30m_30_4.tif
2521,Aketi,4,SurfaceWater_2018_30m_30_3.tif
3299,Akhtubinsk,4,SurfaceWater_2018_30m_30_3.tif
5860,Akita,6,SurfaceWater_2018_30m_30_5.tif
5307,Akola,5,SurfaceWater_2018_30m_30_4.tif
1401,Akron,2,SurfaceWater_2018_30m_30_1.tif
4881,Aksu,5,SurfaceWater_2018_30m_30_4.tif
3371,Aksum,4,SurfaceWater_2018_30m_30_3.tif
1720,Akureyi,3,SurfaceWater_2018_30m_30_2.tif
2499,Al Ahmadi,4,SurfaceWater_2018_30m_30_3.tif
3707,Al Amarah,4,SurfaceWater_2018_30m_30_3.tif
3914,Al Ayn,4,SurfaceWater_2018_30m_30_3.tif
2879,Al Bayda,4,SurfaceWater_2018_30m_30_3.tif
3397,Al Fallujah,4,SurfaceWater_2018_30m_30_3.tif
3476,Al Fujayrah,4,SurfaceWater_2018_30m_30_3.tif
2638,Al Hasakah,4,SurfaceWater_2018_30m_30_3.tif
3858,Al Hillah,4,SurfaceWater_2018_30m_30_3.tif
3809,Al Hudaydah,4,SurfaceWater_2018_30m_30_3.tif
3624,Al Hufuf,4,SurfaceWater_2018_30m_30_3.tif
2408,Al Jaghbub,4,SurfaceWater_2018_30m_30_3.tif
2673,Al Jahra,4,SurfaceWater_2018_30m_30_3.tif
4027,Al Jawf,4,SurfaceWater_2018_30m_30_3.tif
3544,Al Jubayl,4,SurfaceWater_2018_30m_30_3.tif
3739,Al Karak,4,SurfaceWater_2018_30m_30_3.tif
2796,Al Khalil,4,SurfaceWater_2018_30m_30_3.tif
3669,Al Kharj,4,SurfaceWater_2018_30m_30_3.tif
2487,Al Khums,4,SurfaceWater_2018_30m_30_3.tif
3510,Al Kut,4,SurfaceWater_2018_30m_30_3.tif
2811,Al Ladhiqiyah,4,SurfaceWater_2018_30m_30_3.tif
2522,Al Marj,4,SurfaceWater_2018_30m_30_3.tif
2702,Al Mubarraz,4,SurfaceWater_2018_30m_30_3.tif
3433,Al Mukalla,4,SurfaceWater_2018_30m_30_3.tif
2637,Al Musayyib,4,SurfaceWater_2018_30m_30_3.tif
2577,Al Qamishli,4,SurfaceWater_2018_30m_30_3.tif
3050,Al Qunaytirah,4,SurfaceWater_2018_30m_30_3.tif
2506,Al Quwayiyah,4,SurfaceWater_2018_30m_30_3.tif
3107,Al Wajh,4,SurfaceWater_2018_30m_30_3.tif
2739,Al-Qatif,4,SurfaceWater_2018_30m_30_3.tif
1763,Alagoinhas,3,SurfaceWater_2018_30m_30_2.tif
560,Alajuela,2,SurfaceWater_2018_30m_30_1.tif
1006,Alamogordo,2,SurfaceWater_2018_30m_30_1.tif
4410,Alapayevsk,5,SurfaceWater_2018_30m_30_4.tif
3258,Alatyr,4,SurfaceWater_2018_30m_30_3.tif
2466,Alayat Samail,4,SurfaceWater_2018_30m_30_3.tif
2190,Albacete,3,SurfaceWater_2018_30m_30_2.tif
1309,Albany1,2,SurfaceWater_2018_30m_30_1.tif
1369,Albany2,2,SurfaceWater_2018_30m_30_1.tif
79,Albany3,1,SurfaceWater_2018_30m_30_0.tif
5258,Albany4,5,SurfaceWater_2018_30m_30_4.tif
360,Albert Lea,2,SurfaceWater_2018_30m_30_1.tif
1519,Albuquerque,2,SurfaceWater_2018_30m_30_1.tif
5792,Albury,6,SurfaceWater_2018_30m_30_5.tif
713,Aldama,2,SurfaceWater_2018_30m_30_1.tif
5934,Aldan,6,SurfaceWater_2018_30m_30_5.tif
5701,Aleksandrovsk,6,SurfaceWater_2018_30m_30_5.tif
3274,Alekseyevka,4,SurfaceWater_2018_30m_30_3.tif
2617,Aleksin,4,SurfaceWater_2018_30m_30_3.tif
4151,Aleppo,4,SurfaceWater_2018_30m_30_3.tif
1276,Alexandria1,2,SurfaceWater_2018_30m_30_1.tif
1414,Alexandria2,2,SurfaceWater_2018_30m_30_1.tif
4298,Alexandria3,4,SurfaceWater_2018_30m_30_3.tif
2539,Alexandroupoli,4,SurfaceWater_2018_30m_30_3.tif
4744,Aleysk,5,SurfaceWater_2018_30m_30_4.tif
1832,Algeciras,3,SurfaceWater_2018_30m_30_2.tif
3153,Algha,4,SurfaceWater_2018_30m_30_3.tif
4323,Algiers,4,SurfaceWater_2018_30m_30_3.tif
3300,Ali Bayramli,4,SurfaceWater_2018_30m_30_3.tif
2456,Ali Sabih,4,SurfaceWater_2018_30m_30_3.tif
2278,Alicante,3,SurfaceWater_2018_30m_30_2.tif
366,Alice,2,SurfaceWater_2018_30m_30_1.tif
6007,Alice Springs,6,SurfaceWater_2018_30m_30_5.tif
5180,Aligarh,5,SurfaceWater_2018_30m_30_4.tif
5218,Alipur Duar,5,SurfaceWater_2018_30m_30_4.tif
2473,Aliwal North,4,SurfaceWater_2018_30m_30_3.tif
4604,Allahabad,5,SurfaceWater_2018_30m_30_4.tif
4741,Allanmyo,5,SurfaceWater_2018_30m_30_4.tif
5149,Allappey,5,SurfaceWater_2018_30m_30_4.tif
265,Allende,2,SurfaceWater_2018_30m_30_1.tif
597,Allentown,2,SurfaceWater_2018_30m_30_1.tif
277,Alliance,2,SurfaceWater_2018_30m_30_1.tif
5393,Almaty,5,SurfaceWater_2018_30m_30_4.tif
1715,Almenara,3,SurfaceWater_2018_30m_30_2.tif
2192,Almeria,3,SurfaceWater_2018_30m_30_2.tif
3572,Almetyevsk,4,SurfaceWater_2018_30m_30_3.tif
187,Almirante,2,SurfaceWater_2018_30m_30_1.tif
5010,Alor Setar,5,SurfaceWater_2018_30m_30_4.tif
5659,Alotau,6,SurfaceWater_2018_30m_30_5.tif
372,Alpena,2,SurfaceWater_2018_30m_30_1.tif
266,Alpine,2,SurfaceWater_2018_30m_30_1.tif
323,Alta Gracia,2,SurfaceWater_2018_30m_30_1.tif
900,Altagracia de Orituco,2,SurfaceWater_2018_30m_30_1.tif
1997,Altamira,3,SurfaceWater_2018_30m_30_2.tif
5251,Altay,5,SurfaceWater_2018_30m_30_4.tif
1274,Alton,2,SurfaceWater_2018_30m_30_1.tif
503,Altoona,2,SurfaceWater_2018_30m_30_1.tif
2305,Alvorada,3,SurfaceWater_2018_30m_30_2.tif
5107,Alwar,5,SurfaceWater_2018_30m_30_4.tif
4643,Alxa Zuoqi,5,SurfaceWater_2018_30m_30_4.tif
3138,Am Timan,4,SurfaceWater_2018_30m_30_3.tif
5649,Amahai,6,SurfaceWater_2018_30m_30_5.tif
1966,Amapa,3,SurfaceWater_2018_30m_30_2.tif
1492,Amarillo,2,SurfaceWater_2018_30m_30_1.tif
3262,Amasya,4,SurfaceWater_2018_30m_30_3.tif
4568,Ambala,5,SurfaceWater_2018_30m_30_4.tif
2450,Ambanja,4,SurfaceWater_2018_30m_30_3.tif
1302,Ambato,2,SurfaceWater_2018_30m_30_1.tif
2482,Ambatondrazaka,4,SurfaceWater_2018_30m_30_3.tif
5950,Ambon,6,SurfaceWater_2018_30m_30_5.tif
4605,Amderma,5,SurfaceWater_2018_30m_30_4.tif
1926,Americana,3,SurfaceWater_2018_30m_30_2.tif
1109,Ames,2,SurfaceWater_2018_30m_30_1.tif
263,Amherst,2,SurfaceWater_2018_30m_30_1.tif
3754,Amiens,4,SurfaceWater_2018_30m_30_3.tif
4299,Amman,4,SurfaceWater_2018_30m_30_3.tif
2587,Ammochostos,4,SurfaceWater_2018_30m_30_3.tif
3776,Amol,4,SurfaceWater_2018_30m_30_3.tif
273,Amos,2,SurfaceWater_2018_30m_30_1.tif
4977,Amravati,5,SurfaceWater_2018_30m_30_4.tif
5451,Amritsar,5,SurfaceWater_2018_30m_30_4.tif
4331,Amsterdam,4,SurfaceWater_2018_30m_30_3.tif
5717,Amursk,6,SurfaceWater_2018_30m_30_5.tif
4122,An Najaf,4,SurfaceWater_2018_30m_30_3.tif
3667,An Nasiriyah,4,SurfaceWater_2018_30m_30_3.tif
447,Anaco,2,SurfaceWater_2018_30m_30_1.tif
2271,Anapolis,3,SurfaceWater_2018_30m_30_2.tif
845,Anatuya,2,SurfaceWater_2018_30m_30_1.tif
5488,Anbyon,6,SurfaceWater_2018_30m_30_5.tif
123,Anchorage,1,SurfaceWater_2018_30m_30_0.tif
3693,Ancona,4,SurfaceWater_2018_30m_30_3.tif
862,Ancud,2,SurfaceWater_2018_30m_30_1.tif
5575,Anda,6,SurfaceWater_2018_30m_30_5.tif
1258,Anderson,2,SurfaceWater_2018_30m_30_1.tif
5328,Andijon,5,SurfaceWater_2018_30m_30_4.tif
4853,Andkhvoy,5,SurfaceWater_2018_30m_30_4.tif
3097,Andoany,4,SurfaceWater_2018_30m_30_3.tif
5773,Andong,6,SurfaceWater_2018_30m_30_5.tif
4036,Andorra,4,SurfaceWater_2018_30m_30_3.tif
2161,Andradina,3,SurfaceWater_2018_30m_30_2.tif
2884,Androka,4,SurfaceWater_2018_30m_30_3.tif
5525,Angangxi,6,SurfaceWater_2018_30m_30_5.tif
5285,Angarsk,5,SurfaceWater_2018_30m_30_4.tif
5915,Angeles,6,SurfaceWater_2018_30m_30_5.tif
1897,Angers,3,SurfaceWater_2018_30m_30_2.tif
3392,Angoche,4,SurfaceWater_2018_30m_30_3.tif
321,Angol,2,SurfaceWater_2018_30m_30_1.tif
1681,Angra do Heroismo,3,SurfaceWater_2018_30m_30_2.tif
4907,Angren,5,SurfaceWater_2018_30m_30_4.tif
5327,Ankang,5,SurfaceWater_2018_30m_30_4.tif
4309,Ankara,4,SurfaceWater_2018_30m_30_3.tif
4539,Anlu,5,SurfaceWater_2018_30m_30_4.tif
1352,Ann Arbor,2,SurfaceWater_2018_30m_30_1.tif
1987,Anna Regina,3,SurfaceWater_2018_30m_30_2.tif
4115,Annaba,4,SurfaceWater_2018_30m_30_3.tif
490,Annapolis,2,SurfaceWater_2018_30m_30_1.tif
2778,Annecy,4,SurfaceWater_2018_30m_30_3.tif
4965,Anqing,5,SurfaceWater_2018_30m_30_4.tif
5605,Ansan,6,SurfaceWater_2018_30m_30_5.tif
5990,Anshan,6,SurfaceWater_2018_30m_30_5.tif
5074,Anshun,5,SurfaceWater_2018_30m_30_4.tif
3075,Antalaha,4,SurfaceWater_2018_30m_30_3.tif
3937,Antalya,4,SurfaceWater_2018_30m_30_3.tif
4319,Antananarivo,4,SurfaceWater_2018_30m_30_3.tif
834,Antigonish,2,SurfaceWater_2018_30m_30_1.tif
1558,Antofagasta,2,SurfaceWater_2018_30m_30_1.tif
2845,Antsirabe,4,SurfaceWater_2018_30m_30_3.tif
4034,Antsiranana,4,SurfaceWater_2018_30m_30_3.tif
2976,Antsohihy,4,SurfaceWater_2018_30m_30_3.tif
3995,Antwerpen,4,SurfaceWater_2018_30m_30_3.tif
4473,Anuradhapura,5,SurfaceWater_2018_30m_30_4.tif
4682,Anxi,5,SurfaceWater_2018_30m_30_4.tif
4558,Anyang,5,SurfaceWater_2018_30m_30_4.tif
4445,Anzhero Sudzhensk,5,SurfaceWater_2018_30m_30_4.tif
5856,Aomori,6,SurfaceWater_2018_30m_30_5.tif
685,Apalachicola,2,SurfaceWater_2018_30m_30_1.tif
2580,Apatity,4,SurfaceWater_2018_30m_30_3.tif
358,Apatzingan,2,SurfaceWater_2018_30m_30_1.tif
120,Apia,1,SurfaceWater_2018_30m_30_0.tif
1660,Apodi,3,SurfaceWater_2018_30m_30_2.tif
658,Apolo,2,SurfaceWater_2018_30m_30_1.tif
572,Appleton,2,SurfaceWater_2018_30m_30_1.tif
2603,Apsheronsk,4,SurfaceWater_2018_30m_30_3.tif
1847,Apucarana,3,SurfaceWater_2018_30m_30_2.tif
4357,Aqadyr,5,SurfaceWater_2018_30m_30_4.tif
3119,Aqsay,4,SurfaceWater_2018_30m_30_3.tif
3016,Aqtau,4,SurfaceWater_2018_30m_30_3.tif
4081,Aqtobe,4,SurfaceWater_2018_30m_30_3.tif
2183,Aquidauana,3,SurfaceWater_2018_30m_30_2.tif
2721,Ar Ramadi,4,SurfaceWater_2018_30m_30_3.tif
3559,Ar Raqqah,4,SurfaceWater_2018_30m_30_3.tif
3084,Ar Rutbah,4,SurfaceWater_2018_30m_30_3.tif
2293,Aracaju,3,SurfaceWater_2018_30m_30_2.tif
1984,Aracati,3,SurfaceWater_2018_30m_30_2.tif
1869,Aracatuba,3,SurfaceWater_2018_30m_30_2.tif
2044,Aracuai,3,SurfaceWater_2018_30m_30_2.tif
2715,Arad,4,SurfaceWater_2018_30m_30_3.tif
2081,Araguaina,3,SurfaceWater_2018_30m_30_2.tif
1837,Araguari,3,SurfaceWater_2018_30m_30_2.tif
3742,Arak,4,SurfaceWater_2018_30m_30_3.tif
4725,Aral,5,SurfaceWater_2018_30m_30_4.tif
