,0,NDVIfile,ndvi_file_name
0,Eagle,1,Global_NDVI-0000000000-0000000000.tif
1,Emmonak,1,Global_NDVI-0000000000-0000000000.tif
2,Lavrentiya,1,Global_NDVI-0000000000-0000000000.tif
3,Mekoryuk,1,Global_NDVI-0000000000-0000000000.tif
4,Nenana,1,Global_NDVI-0000000000-0000000000.tif
5,Teller,1,Global_NDVI-0000000000-0000000000.tif
6,Sand Point,1,Global_NDVI-0000000000-0000000000.tif
7,Selawik,1,Global_NDVI-0000000000-0000000000.tif
8,Tununak,1,Global_NDVI-0000000000-0000000000.tif
9,Dillingham,1,Global_NDVI-0000000000-0000000000.tif
10,Palmer,1,Global_NDVI-0000000000-0000000000.tif
11,Terrace,1,Global_NDVI-0000000000-0000000000.tif
12,Kaktovik,1,Global_NDVI-0000000000-0000000000.tif
13,Chignik,1,Global_NDVI-0000000000-0000000000.tif
14,Hooper Bay,1,Global_NDVI-0000000000-0000000000.tif
15,Karluk,1,Global_NDVI-0000000000-0000000000.tif
16,McGrath,1,Global_NDVI-0000000000-0000000000.tif
17,Togiak,1,Global_NDVI-0000000000-0000000000.tif
18,Wales,1,Global_NDVI-0000000000-0000000000.tif
19,Yakutat,1,Global_NDVI-0000000000-0000000000.tif
20,Quinhagak,1,Global_NDVI-0000000000-0000000000.tif
21,Shishmaref,1,Global_NDVI-0000000000-0000000000.tif
22,Wainwright,1,Global_NDVI-0000000000-0000000000.tif
23,Hoonah,1,Global_NDVI-0000000000-0000000000.tif
24,King Salmon,1,Global_NDVI-0000000000-0000000000.tif
25,Koyuk,1,Global_NDVI-0000000000-0000000000.tif
26,Unalakleet,1,Global_NDVI-0000000000-0000000000.tif
27,Unalaska,1,Global_NDVI-0000000000-0000000000.tif
28,Kotlit,1,Global_NDVI-0000000000-0000000000.tif
29,Skagway,1,Global_NDVI-0000000000-0000000000.tif
30,Provideniya,1,Global_NDVI-0000000000-0000000000.tif
31,Wrangell,1,Global_NDVI-0000000000-0000000000.tif
32,Cordova,1,Global_NDVI-0000000000-0000000000.tif
33,Fort Yukon,1,Global_NDVI-0000000000-0000000000.tif
34,Kotzebue,1,Global_NDVI-0000000000-0000000000.tif
35,Homer,1,Global_NDVI-0000000000-0000000000.tif
36,Kenai,1,Global_NDVI-0000000000-0000000000.tif
37,Ketchikan,1,Global_NDVI-0000000000-0000000000.tif
38,Point Hope,1,Global_NDVI-0000000000-0000000000.tif
39,Sitka,1,Global_NDVI-0000000000-0000000000.tif
40,Fort Good Hope,1,Global_NDVI-0000000000-0000000000.tif
41,Valdez,1,Global_NDVI-0000000000-0000000000.tif
42,Nome,1,Global_NDVI-0000000000-0000000000.tif
43,Barrow,1,Global_NDVI-0000000000-0000000000.tif
44,Bethel,1,Global_NDVI-0000000000-0000000000.tif
45,Kodiak,1,Global_NDVI-0000000000-0000000000.tif
46,Whitehorse,1,Global_NDVI-0000000000-0000000000.tif
47,Juneau,1,Global_NDVI-0000000000-0000000000.tif
48,Fairbanks,1,Global_NDVI-0000000000-0000000000.tif
49,Anchorage,1,Global_NDVI-0000000000-0000000000.tif
50,Brochet,2,Global_NDVI-0000000000-0000023296.tif
51,Lutselke,2,Global_NDVI-0000000000-0000023296.tif
52,Salluit,2,Global_NDVI-0000000000-0000023296.tif
53,Stony Rapids,2,Global_NDVI-0000000000-0000023296.tif
54,Mendocino,2,Global_NDVI-0000000000-0000023296.tif
55,Pukatawagan,2,Global_NDVI-0000000000-0000023296.tif
56,Wallace,2,Global_NDVI-0000000000-0000023296.tif
57,Eastmain,2,Global_NDVI-0000000000-0000023296.tif
58,Thessalon,2,Global_NDVI-0000000000-0000023296.tif
59,Tonopah,2,Global_NDVI-0000000000-0000023296.tif
60,White Sulphur Springs,2,Global_NDVI-0000000000-0000023296.tif
