,city,SurfaceFile,surface_file_name
0,Aalborg,4,SurfaceWater_2018_30m_30_3.tif
1,Aarhus,4,SurfaceWater_2018_30m_30_3.tif
2,Aba,4,SurfaceWater_2018_30m_30_3.tif
3,Abadan,4,SurfaceWater_2018_30m_30_3.tif
4,Abaetetuba,3,SurfaceWater_2018_30m_30_2.tif
5,Abai,3,SurfaceWater_2018_30m_30_2.tif
6,Abakan,5,SurfaceWater_2018_30m_30_4.tif
7,Abancay,2,SurfaceWater_2018_30m_30_1.tif
8,Abau,6,SurfaceWater_2018_30m_30_5.tif
9,Abaza,5,SurfaceWater_2018_30m_30_4.tif
10,Abbottabad,5,SurfaceWater_2018_30m_30_4.tif
11,Abeche,4,SurfaceWater_2018_30m_30_3.tif
12,Abengourou,3,SurfaceWater_2018_30m_30_2.tif
13,Abeokuta,4,SurfaceWater_2018_30m_30_3.tif
14,Aberdeen1,2,SurfaceWater_2018_30m_30_1.tif
15,Aberdeen2,1,SurfaceWater_2018_30m_30_0.tif
16,Aberdeen3,3,SurfaceWater_2018_30m_30_2.tif
17,Abha,4,SurfaceWater_2018_30m_30_3.tif
18,Abidjan,3,SurfaceWater_2018_30m_30_2.tif
19,Abilene,2,SurfaceWater_2018_30m_30_1.tif
20,Abohar,5,SurfaceWater_2018_30m_30_4.tif
21,Abomey,4,SurfaceWater_2018_30m_30_3.tif
22,Abong Mbang,4,SurfaceWater_2018_30m_30_3.tif
23,Abra Pampa,2,SurfaceWater_2018_30m_30_1.tif
24,Abu Dhabi,4,SurfaceWater_2018_30m_30_3.tif
25,Abu Kamal,4,SurfaceWater_2018_30m_30_3.tif
26,Abuja,4,SurfaceWater_2018_30m_30_3.tif
27,Acapulco,2,SurfaceWater_2018_30m_30_1.tif
28,Acarau,3,SurfaceWater_2018_30m_30_2.tif
29,Acarigua,2,SurfaceWater_2018_30m_30_1.tif
30,Acatlan,2,SurfaceWater_2018_30m_30_1.tif
31,Accra,3,SurfaceWater_2018_30m_30_2.tif
32,Accra,4,SurfaceWater_2018_30m_30_3.tif
33,Achinsk,5,SurfaceWater_2018_30m_30_4.tif
34,Acu,3,SurfaceWater_2018_30m_30_2.tif
35,Ad Dakhla,3,SurfaceWater_2018_30m_30_2.tif
36,Ad Damman,4,SurfaceWater_2018_30m_30_3.tif
