"city","mean_ndvi","err"
"Nakuru",5316.53394246883,""
"Naltchik",4660.08227848444,""
"Nalut",1552.41398865785,""
"Nam Dinh",4367.89021247814,""
"Namanga",3321.00621118012,""
"Namangan",3025.86099549249,""
"Namibe",1076.98398175188,""
"Nampo",2846.3853180158,""
"Nampula",4415.14212157285,""
"Namtu",5639.92588932806,""
"Namur",6017.60455453866,""
"Nan",5922.46155885472,""
"Nanaimo",6094.79690947441,""
"Nancha",3940.45074160244,""
"Nanchang",4951.12268857315,""
"Nanchong",5283.66003344594,""
"Nancy",5697.04378341404,""
"Nanded",4244.4344202037,""
"Nandi",6240.22347774362,""
"Nandyal",4259.05916505088,""
"Nangong",0,""
"Nanjing",3749.40398643634,""
"Nanning",4303.35830524047,""
"Nanping",5327.58002813016,""
"Nantes",5784.56100161602,""
"Nantong",4634.53970105451,""
"Nanuque",0,""
"Nanyang",4717.84861008162,""
"Nanyuki",5776.37987256372,""
"Naples1",5081.13452932274,""
"Naples2",5657.58960309873,""
"Nara",2367.18205128205,""
"Narathiwat",5272.9288855342,""
"Narayanganj",4808.83669983836,""
"Narrabri",3402.09141583055,""
"Narrogin",4287.61528326746,""
"Narsarsuaq",1616.08057359307,""
"Narva",3742.27936936981,""
"Naryan Mar",1940.79047590696,""
"Naryn",1427.88765977106,""
"Nasca",2275.8152173913,""
"Nashville",0,""
"Nasik",3994.51865059524,""
"Nassau",4277.53598388182,""
"Nata",3764.36594202899,""
"Natal",4847.07148140718,""
"Natchez",5853.22257878982,""
"National City",2898.25701089233,""
"Natitingou",4132.79363889484,""
"Nautla",6355.95026140156,""
"Navajoa",3528.80574136009,""
"Navoi",2386.02584172452,""
"Navsari",5821.0597826087,""
"Nawabganj",4962.92041076334,""
"Nawabshah",3455.94928279273,""
"Naxcivan",3058.23433537158,""
"Naypyidaw",5051.70184449895,""
"Nazareth",3299.2973126762,""
"Nazret",3477.24761480724,""
"Nazyvayevsk",2694.38333932207,""
"Nchelenge",4605.59953939873,""
"Ndalatando",2917.00197628458,""
"Ndele",4902.7376931369,""
"Ndende",3835.89529724933,""
"Ndjamena",2208.35989870272,""
"Ndola",4168.61467720685,""
"Necochea",4713.83996988385,""
"Needles",2001.37523225567,""
"Neftekamsk",2746.48737018131,""
"Nehe",2762.34097878597,""
"Neiafu",5645.44675517171,""
"Neiba",5071.41216512956,""
