"city","mean_swater","err"
"Tours",2.35211267605634,""
"Townsville",2.22137404580153,""
"Toyama",2.36846543001686,""
"Tozeur",1,""
"Trablous",2.97385003150599,""
"Trabzon",2.96867900032457,""
"Tralee",1.70588235294118,""
"Trancas",NA,""
"Trang",1.6056338028169,""
"Tranqueras",1,""
"Traralgon",1.33333333333333,""
"Traverse City",2.92261904761905,""
"Treinta y Tres",1.31428571428571,""
"Trelew",1.61904761904762,""
"Trento",2.29591836734694,""
"Trenton",2.18613445378151,""
"Trepassey",2.66666666666667,""
"Tres Arroyos",1.3,""
"Tres Lagoas",1.97142857142857,""
"Treviso",1.8671096345515,""
"Trieste",2.93957703927492,""
"Trindade",1.77325581395349,""
"Trinidad1",3,""
"Trinidad2",1.33928571428571,""
"Tripoli1",2.96858638743455,""
"Tripoli2",NA,""
"Trivandrum",2.6668002969562,""
"Trnava",2.22222222222222,""
"Trois Rivieres",2.77121771217712,""
"Troitsk",2.44444444444444,""
"Trollhattan",2.62328767123288,""
"Tromso",2.8673647469459,""
"Trondheim",2.8475499092559,""
"Trout River",3,""
"Troyes",2.07692307692308,""
"Trujillo1",NA,""
"Trujillo2",NA,""
"Trujillo3",2.6970802919708,""
"Truth or Consequences",1.83333333333333,""
"Tsavo",NA,""
"Tsetserleg",2,""
"Tshabong",2,""
"Tshela",NA,""
"Tshikapa",2.50769230769231,""
"Tskhinvali",2.07692307692308,""
"Tsu",2.83763713080169,""
"Tsumeb",NA,""
"Tsuruoka",1.58695652173913,""
"Tuapse",2.78787878787879,""
"Tuban",2.57829353815328,""
"Tubarao",1.33625730994152,""
"Tubruq",2.95,""
"Tucano",NA,""
"Tucson",1.52095808383234,""
"Tucumcari",1,""
"Tucupita",1.86170212765957,""
"Tucurui",NA,""
"Tukuyu",2.66666666666667,""
"Tula1",2.0126582278481,""
"Tula2",NA,""
"Tulare",1.87272727272727,""
"Tulcea",2.16216216216216,""
"Tulsa",1.94340836012862,""
"Tulua",1.57142857142857,""
"Tulun",2.66863905325444,""
"Tumbes",1.31147540983607,""
"Tumen",1.82539682539683,""
"Tumkur",1.70212765957447,""
