City,longitude,latitude,coordinates,Unnamed: 0,mean_ndvi,mean_surface_water,mean_uhi_DayNight,mean_uhi_daytime,mean_uhi_Nighttime,Continent,Class,Skewness,Dip_Statistic,Mean_Height
Brochet,-101.6624986965198,57.887499076687824,"[-101.66249869651979, 57.887499076687824]",202.0,1866.26086956522,3.0,,,,NORTH AMERICA,Pyramid,2.742306655,0.994268464,0.105348022
Eagle,-141.19583180956684,64.78749860808087,"[-141.19583180956684, 64.78749860808087]",305.0,2407.53888888889,2.5,,,,NORTH AMERICA,Pyramid,3.487867665,0.999807464,0.005516328
Emmonak,-164.52083205022632,62.78749817341536,"[-164.52083205022632, 62.78749817341536]",373.0,2970.78553391053,,,,,NORTH AMERICA,Unknown,0.0,1.0,0.0
Lavrentiya,-171.01249839218264,65.58750146820871,"[-171.01249839218264, 65.58750146820871]",504.0,793.725580849273,2.33333333333333,,,,ASIA,Pyramid,0.648027733,0.196625665,0.093306332
Lutselke,-110.73750060159212,62.4041671053112,"[-110.73750060159212, 62.4041671053112]",91.0,1330.29291801948,2.75,,,,NORTH AMERICA,Pyramid,0.606569598,0.29046711,0.172865259
Mekoryuk,-166.19583313394725,60.3874985335023,"[-166.19583313394725, 60.3874985335023]",337.0,5845.0,2.0,,,,NORTH AMERICA,Pyramid,8.104917579,1.0,0.000326954
Nenana,-149.08749980724662,64.56250130172202,"[-149.08749980724662, 64.56250130172202]",81.0,2401.44166666667,,,,,NORTH AMERICA,Pyramid,1.589437295,0.36233244,0.092090567
Salluit,-75.662501575438,62.1791653095961,"[-75.662501575438, 62.1791653095961]",405.0,682.03336156597,2.33333333333333,,,,NORTH AMERICA,Unknown,0.0,1.0,0.0
Schefferville,-66.81250140644563,54.80416675453914,"[-66.81250140644563, 54.80416675453914]",593.0,1137.4972826087,1.0,,,,NORTH AMERICA,Diamond,0.325275132,0.152501916,0.31520925
Stony Rapids,-105.83750143000243,59.25416672567887,"[-105.83750143000243, 59.25416672567887]",284.0,2235.91304347826,,,,,NORTH AMERICA,Pyramid,0.572550079,0.990226686,0.24610847
Teller,-166.3624987138708,65.26249990001543,"[-166.3624987138708, 65.26249990001543]",463.0,1182.76305165611,2.75,,,,NORTH AMERICA,Pyramid,1.878564317,0.992769499,0.018363345
Al Jaghbub,24.52083299636283,29.7458315090378,"[24.52083299636283, 29.745831509037796]",92.0,1311.42753623188,,,,,AFRICA,Pyramid,3.27677726,0.888875597,0.282644469
Calais1,-67.24583239889185,45.16250003126233,"[-67.24583239889185, 45.16250003126233]",314.0,5986.86684782609,,,,,NORTH AMERICA,Pyramid,3.353369345,1.0,0.065898643
Chonchi,-73.80416674865768,-42.60416663854243,"[-73.80416674865768, -42.60416663854243]",546.0,7356.40579710145,,,,,SOUTH AMERICA,Pyramid,2.15231671,0.935978543,0.040299927
Comondante Luis Piedrabuena,-68.91250170520676,-49.97916747661613,"[-68.91250170520676, -49.97916747661613]",40.0,1804.63043478261,,0.518773257732391,0.315140575170517,0.203632682561874,SOUTH AMERICA,Diamond,0.464226399,0.088517606,1.699707259
Danjiangkou,111.49583320775442,32.520832647758844,"[111.49583320775442, 32.520832647758844]",148.0,3984.86594202899,2.0,,,,ASIA,Pyramid,6.06968657,1.0,2.22e-05
Dirj,10.462500284801878,30.16249884360065,"[10.462500284801878, 30.16249884360065]",227.0,979.203804347826,,,,,AFRICA,Diamond,0.279085859,0.52809558,1.45381096
Gubkin,37.3958341077665,51.279164878246725,"[37.395834107766504, 51.279164878246725]",132.0,4088.02415458937,,,,,EUROPE,Pyramid,1.707523044,0.850851392,0.040820034
Meningie,139.33750144424593,-35.6958329883504,"[139.33750144424593, -35.6958329883504]",353.0,4737.77898550725,,,,,AUSTRALIA,Pyramid,1.88024659,0.995652705,0.12435032
Port Hope Simpson,-56.2958320188768,52.54583493852282,"[-56.2958320188768, 52.54583493852282]",10.0,2061.3529314888,3.0,,,,NORTH AMERICA,Pyramid,0.829780494,0.202584524,0.111452347
Punta del Este,-54.95416652148616,-34.97083221529884,"[-54.95416652148616, -34.97083221529884]",116.0,,2.71428571428571,,,,SOUTH AMERICA,Pyramid,1.152142909,0.886404806,0.831476392
Queenstown2,168.6624985946826,-45.02916846652532,"[168.6624985946826, -45.02916846652532]",166.0,4467.19795783926,2.0,,,,AUSTRALIA,Pyramid,1.430414567,0.826027146,1.473256438
Sharbaqty,78.15416695747304,52.495835079006085,"[78.15416695747304, 52.495835079006085]",67.0,2238.48097826087,,,,,ASIA,Pyramid,0.54154785,0.952075664,2.798609377
Southern Cross,119.320833146149,-31.229164869698536,"[119.320833146149, -31.229164869698536]",229.0,2946.07065217391,,,,,AUSTRALIA,Pyramid,0.94101785,0.333536033,0.255516861
Waitakere,174.55416611581228,-36.85416697235197,"[174.55416611581228, -36.85416697235197]",326.0,7403.22554347826,,,,,AUSTRALIA,Pyramid,1.734056912,0.99179665,0.349402762
Westport,171.56250175264867,-41.754168308731074,"[171.56250175264867, -41.754168308731074]",371.0,7617.11956521739,,,,,AUSTRALIA,Pyramid,2.944034761,0.991511745,0.041460546
Apodi,-37.79583325345418,-5.662498745079519,"[-37.795833253454184, -5.662498745079519]",250.0,2394.85869565217,1.0,,,,SOUTH AMERICA,Inverse Pyramid,-0.599765333,0.722346912,3.851058583
Bertoua,13.687498265149973,4.579166791670312,"[13.687498265149971, 4.579166791670312]",25.0,3257.07608695652,,,,,AFRICA,Inverse Pyramid,-0.728636104,0.97176447,2.815822513
Bocas del Toro,-82.24583363019724,9.337500282995215,"[-82.24583363019724, 9.337500282995215]",112.0,4735.14375,2.55555555555556,,,,SOUTH AMERICA,Pyramid,1.465267661,0.882747216,0.800564473
Cuevo,-63.52083314183402,-20.45416634146519,"[-63.52083314183402, -20.45416634146519]",112.0,5009.00724637681,,,,,SOUTH AMERICA,Pyramid,0.947519537,0.687899223,0.761189901
Dibaya,22.862500016180675,-6.520833298391108,"[22.862500016180675, -6.520833298391108]",209.0,5290.31884057971,,,,,AFRICA,Pyramid,4.292324952,1.0,0.000271794
Fada,21.58750035173377,17.18750021132608,"[21.587500351733766, 17.18750021132608]",424.0,2218.09057971014,,,,,AFRICA,Pyramid,0.60639061,0.937578217,0.40541191
Guaranda,-79.01249930178938,-1.6125001031253787,"[-79.01249930178938, -1.6125001031253787]",122.0,5232.11231884058,,,,,SOUTH AMERICA,Pyramid,1.637385795,0.952413868,0.140174043
Jaque,-78.1625010171333,7.520833559349237,"[-78.1625010171333, 7.520833559349237]",502.0,4588.01859426646,3.0,,,,SOUTH AMERICA,Pyramid,1.033757774,0.704285126,0.198814788
Lethem,-59.80416793508386,3.3791669775649176,"[-59.80416793508386, 3.3791669775649176]",538.0,4855.80434782609,1.0,,,,SOUTH AMERICA,Pyramid,1.108120821,0.994681686,0.116959403
Manyoni,34.90416641436088,-5.787500702136914,"[34.90416641436088, -5.787500702136914]",214.0,3655.53260869565,1.0,,,,AFRICA,Pyramid,4.246586058,1.0,0.001047967
Muisne,-80.02083366417334,0.612499892189086,"[-80.02083366417334, 0.612499892189086]",531.0,2126.44910489333,2.83333333333333,,,,SOUTH AMERICA,Pyramid,1.387494745,0.973108104,0.536148819
Nimule,32.04583362831294,3.595834698671743,"[32.04583362831294, 3.595834698671743]",127.0,5498.9402173913,,,,,AFRICA,Pyramid,1.302296717,0.598203708,0.312510801
Pala,14.979166095960684,9.34583212263737,"[14.979166095960684, 9.34583212263737]",376.0,4203.72463768116,,,,,AFRICA,Pyramid,5.44275785,1.0,0.001657811
Panda,34.729166740469566,-24.062499883152523,"[34.729166740469566, -24.062499883152523]",400.0,3790.99637681159,,,,,AFRICA,Diamond,0.068408674,0.089202377,1.311471756
Portel,-50.820831764321575,-1.9374994754354584,"[-50.820831764321575, -1.9374994754354586]",24.0,3295.75,2.5,,,,SOUTH AMERICA,Inverse Pyramid,-1.019178103,0.941090338,2.768441215
Roura,-52.32916726525226,4.720834676890626,"[-52.32916726525226, 4.720834676890626]",334.0,5945.0625,2.25,,,,SOUTH AMERICA,Pyramid,5.191149709,1.0,0.001356333
San Juan del Sur,-85.8708330692938,11.254166874577551,"[-85.8708330692938, 11.254166874577553]",459.0,3271.8495872033,3.0,,,,SOUTH AMERICA,Pyramid,0.686058614,0.2070791,1.989266959
Sand Point,-160.49583340393988,55.33333228491144,"[-160.49583340393988, 55.33333228491144]",493.0,4073.47668535091,2.55555555555556,,,,NORTH AMERICA,Pyramid,2.822319823,0.999988823,0.016042146
Sanming,117.57916622121826,26.229165931391,"[117.57916622121826, 26.229165931390998]",500.0,4161.64855072464,,,,,ASIA,Pyramid,1.146757988,0.993331783,0.35807182
Santa Cruz Cabralia,-39.02083304633732,-16.279167962906197,"[-39.02083304633732, -16.279167962906197]",506.0,2981.67477470446,2.625,,,,SOUTH AMERICA,Pyramid,1.791502865,0.996381868,0.243663009
Tarapoto,-76.47916809433828,-6.512501492766479,"[-76.47916809433828, -6.512501492766479]",416.0,5736.1268115942,2.5,,,,SOUTH AMERICA,Pyramid,1.861040783,0.987869099,0.373101433
Tarma,-75.72083327855074,-11.412500633061624,"[-75.72083327855074, -11.412500633061624]",423.0,3051.41304347826,,,,,SOUTH AMERICA,Pyramid,8.66782155,1.0,0.000951335
Tournavista,-74.71249897573632,-8.929164800574103,"[-74.71249897573632, -8.929164800574103]",599.0,5213.59399703557,3.0,,,,SOUTH AMERICA,Pyramid,1.261088351,0.993813084,0.139324642
